Tabf1,Tabf2,Tabf3,Tabf4,Tabf5,Tabf6,Tabf7,Tabf8,Tabf9,Tabf10,Tabf11,Tabf12,Tabf13,Tabf14,Tabf15,Tabf16,Tabf17,Tabf18,Tabf19,Tabf20,Tabf21,Tabf22,Tabf23
-324.632960287677,329.354826903672,-3.34242957647728e-48,-1.44245433116966e-44,2.43608124049561e-42,9.76569985686953e-39,-2.38163147298171e-36,-2.60200548940764e-33,8.93745133109541e-31,3.62823045899895e-28,-1.63638293957849e-25,-2.9103724917986e-23,1.683284158543e-20,1.37170814548677e-18,-1.02010685601622e-15,-3.67575491762304e-14,3.54778386153665e-11,5.0211616632048e-10,-5.8832273373584e-07,-2.61152659735989e-06,-0.00298442957250464,0.00456215833204351,0.00171760879979043
-326.549405292432,345.357998477079,-8.12363989701295e-47,-1.08613911751311e-44,5.8904999824315e-41,8.0686865040075e-39,-1.87464116972315e-35,-2.37997394765118e-33,3.38470722523183e-30,3.73414717945671e-28,-3.77943931584672e-25,-3.45512815491565e-23,2.68794137541731e-20,1.95032816378627e-18,-1.21297347001314e-15,-6.63983273406491e-14,3.31872269336364e-11,1.27300292945301e-09,-4.48439477619384e-07,-1.08414977228293e-05,-0.00378039790791024,-0.000374881567574351,-0.0151049012819757
-353.154948595028,351.847073889149,-7.09692364545481e-49,-2.45299736370331e-44,1.57970074905867e-41,1.50300737208904e-38,-8.96716412896994e-36,-3.89311133618257e-33,2.16024528631764e-30,5.53741816212156e-28,-2.84570694903632e-25,-4.70180709311706e-23,2.22254483756701e-20,2.42680185665157e-18,-1.04341300631381e-15,-7.42561128293974e-14,2.81034360325904e-11,1.24908550630153e-09,-3.36986896843799e-07,-9.26896908287399e-06,-0.00467454962720081,-0.00822439083075136,-0.00313259637925631
-371.152844921764,372.853152804745,-7.49317366834136e-48,-1.21588219592024e-44,7.88224776317464e-42,8.14970846703359e-39,-3.36629964365925e-36,-2.30203368379933e-33,7.83156139798782e-31,3.55554500664742e-28,-1.10582826874597e-25,-3.25442275750828e-23,9.87629997846287e-21,1.78291881866073e-18,-5.56482267673627e-16,-5.57625494744944e-14,1.85776263699649e-11,8.65222366691593e-10,-2.77640939756776e-07,-4.19743136760967e-06,-0.00410618299404484,0.00279593868977889,0.00385501075199674
-388.192481598257,382.82152297831,-8.49287915018155e-49,8.84179940456464e-46,3.90159989865542e-42,-5.5606445745625e-40,-2.50934143642075e-36,1.38567163468492e-34,7.22553570395621e-31,-1.62484299343802e-29,-1.15872020230981e-25,6.3087353113649e-25,1.11478825562694e-20,5.26395689264627e-20,-6.50657558149665e-16,-7.05140566819251e-15,2.18820983889448e-11,3.01934732968036e-10,-3.32315239422827e-07,-4.68844268523428e-06,-0.00354682861467346,-0.00362688192950682,-0.000377030348798184
-393.832909151764,398.159439323279,-4.27839552802249e-48,-2.72270976154505e-45,4.51719107952296e-42,2.04150396830869e-39,-1.92982760225689e-36,-6.51019571479397e-34,4.42529454390477e-31,1.14875053662899e-28,-6.00081063387416e-26,-1.22066873841683e-23,4.9419975798314e-21,7.95134119701651e-19,-2.40656316090876e-16,-3.08458734415042e-14,6.04163435848393e-12,6.52376079707271e-10,-1.14858501858897e-08,-5.85924363676116e-06,-0.00569165401794288,2.50346683059314e-05,0.00119089857060035
-411.924418925562,431.16627825224,-9.71884505341981e-48,1.33967920916558e-45,8.99681334311472e-42,-1.11708364802294e-39,-3.5740269135631e-36,3.93259124555769e-34,7.96149063125049e-31,-7.59640416690561e-29,-1.09016185431592e-25,8.75062792126712e-24,9.45209498897344e-21,-6.10485931494826e-19,-5.13569595997303e-16,2.49331962097048e-14,1.64101244876668e-11,-5.4199872872457e-10,-2.37594636179401e-07,5.14265329139796e-06,-0.00301071138991031,0.000207752735958425,-0.0311087648943839
-440.758154634474,447.751631506038,-4.04701436766066e-48,3.56089355484542e-46,4.0382052257958e-42,-3.04475563591501e-40,-1.72459266498779e-36,1.08942901693934e-34,4.11017340683918e-31,-2.11601546605726e-29,-5.97014286625419e-26,2.41815406073696e-24,5.40930388846589e-21,-1.64312604107565e-19,-2.99081353132873e-16,6.34973463290948e-15,9.23204783995734e-12,-1.24479017450243e-10,-1.0540366333205e-07,1.13326807597519e-06,-0.00342296467476417,0.00972772167617027,-0.0233353362353453
-446.698264187693,460.615917018809,-2.04140898140943e-49,1.59524449751015e-46,1.39490243500555e-43,-1.4647026427382e-40,-2.71191388431158e-38,5.69447501026072e-35,-2.87600830847483e-33,-1.22330357114705e-29,2.11969239525527e-27,1.59095603386895e-24,-4.00534991263332e-22,-1.29257938415428e-19,4.03394042461614e-17,6.54045951646663e-15,-2.49661895268909e-12,-1.98361787070436e-10,1.09562832435213e-07,3.23722343121506e-06,-0.00474765277883394,0.0120435224872086,-0.01071517465135
